,months,2014,2015,2016,2017,2018,2019,2020,2021,2022
0,January,300400,285552,509478,726676,718994,967287,1240596,1095346,1052418
1,February,224736,196930,560874,791647,843114,943744,1146830,649983,1233714
2,March,439117,341826,919921,727665,976672,1327960,1068457,1531094,1893444
3,April,670780,652390,1013149,1315404,1307543,1766094,682762,2067669,2319613
4,May,866117,961986,1212280,1523268,1824710,1924563,1487890,2724165,2940600
5,June,936880,941219,1460318,1731594,1953103,2125370,1882273,3178081,3432883
6,July,968842,1085676,1380110,1735599,1913625,2181064,2105808,3084914,3497390
7,August,963489,1179044,1557663,1816498,1977177,2344224,2329514,3072833,3681309
8,September,953887,1289699,1648856,1878098,1877884,2444900,2488225,3280560,3507123
9,October,828711,1212277,1573872,1897592,1878657,2092573,2248869,3069235,3021670
10,November,529188,987245,1196942,1330649,1260355,1478708,1736704,2159284,2460105
11,December,399069,804125,812192,889967,1016505,955210,1088929,1748287,1649652
